name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.100000,0.125000,0.110000,0.120000,0.105000,0.125000,0.000000,0.130000,0.095000,0.090000
after_with_def,0.100000,0.080000,0.035000,0.095000,0.055000,0.055000,0.230000,0.100000,0.065000,0.185000
