name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.114000,0.097200,0.108400,0.122800,0.109200,0.101600,0.016000,0.118800,0.105200,0.106800
after_with_def,0.111600,0.090800,0.098400,0.106800,0.076400,0.097600,0.127200,0.086400,0.112400,0.092400
