epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9844,0.2554,0.9228,0.0,0.0
0,0.3812,1.0,0.8765,0.0009045084971874737,81.16
1,0.3804,1.0,0.8733,0.0006545084971874737,82.57
2,0.3752,1.0,0.8678,0.00034549150281252633,82.99
3,0.3848,1.0,0.8641,9.549150281252633e-05,84.32
4,0.3776,1.0,0.8644,0.0,83.01
