epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0043,0.0043,0.0093,12.6098,0.8430,0.010000
0,100,0.1073,0.1073,0.5854,11.3861,0.5466,0.010000
0,200,0.1157,0.1157,3.1995,14.1071,1.3654,0.010000
0,300,0.1146,0.1146,1.2383,11.0177,1.3261,0.010000
1,0,133.6942,0.0936,4.5787,11.7037,1.6563,0.009755
1,100,2.3348,1.8845,2.2014,0.0306,0.0144,0.009755
1,200,2.0361,1.2623,1.7950,0.0645,0.0128,0.009755
1,300,1.4206,1.0251,2.0487,0.0290,0.0106,0.009755
2,0,1.2466,1.1757,2.1979,0.0054,0.0017,0.009045
2,100,1.8023,0.9562,1.8470,0.0692,0.0154,0.009045
2,200,1.2570,0.9733,1.9336,0.0242,0.0041,0.009045
2,300,1.0326,0.9706,2.1256,0.0047,0.0015,0.009045
3,0,0.9895,0.8350,2.0950,0.0141,0.0014,0.007939
3,100,1.3256,1.0532,2.0205,0.0221,0.0052,0.007939
3,200,2.0173,0.8971,1.9961,0.0965,0.0155,0.007939
3,300,1.0649,0.9895,2.1118,0.0064,0.0011,0.007939
4,0,1.0503,0.9364,2.0747,0.0096,0.0018,0.006545
4,100,1.0215,0.8252,2.0772,0.0178,0.0019,0.006545
4,200,3.8437,0.8129,1.4159,0.2341,0.0690,0.006545
4,300,2.0193,0.8174,1.8543,0.0818,0.0384,0.006545
5,0,1.0677,1.0379,2.2321,0.0017,0.0013,0.005000
5,100,0.8802,0.7796,2.1290,0.0082,0.0019,0.005000
5,200,0.9017,0.8628,2.1563,0.0020,0.0019,0.005000
5,300,2.3539,0.8610,1.7777,0.1155,0.0338,0.005000
6,0,0.7829,0.7595,2.2230,0.0020,0.0003,0.003455
6,100,1.0141,0.8623,2.0663,0.0118,0.0034,0.003455
6,200,1.5047,0.8634,1.8934,0.0408,0.0233,0.003455
6,300,0.8984,0.8915,2.2620,0.0004,0.0003,0.003455
7,0,0.8671,0.7516,2.1426,0.0088,0.0028,0.002061
7,100,0.8826,0.8225,2.1539,0.0045,0.0015,0.002061
7,200,0.6681,0.6577,2.2476,0.0008,0.0002,0.002061
7,300,0.9514,0.7486,2.0729,0.0167,0.0036,0.002061
8,0,1.1380,0.7358,1.9953,0.0366,0.0036,0.000955
8,100,0.7646,0.6692,2.1523,0.0085,0.0011,0.000955
8,200,1.2372,0.6739,2.0475,0.0477,0.0086,0.000955
8,300,1.8885,0.6954,1.8566,0.0934,0.0259,0.000955
9,0,1.3139,0.6294,1.8623,0.0512,0.0173,0.000245
9,100,0.7227,0.7154,2.2516,0.0005,0.0002,0.000245
9,200,0.7075,0.6925,2.2101,0.0010,0.0005,0.000245
9,300,0.8372,0.6575,2.0554,0.0132,0.0048,0.000245
