name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.114000,0.097200,0.108400,0.122800,0.109200,0.101600,0.016000,0.118800,0.105200,0.106800
after_with_def,0.087200,0.110400,0.059600,0.086400,0.111200,0.079600,0.178800,0.083600,0.091600,0.111600
