epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9657,0.2982,0.9331,0.0,0.0
0,0.4431,0.7381,0.904,0.009755282581475769,73.61
1,0.3566,0.0807,0.9034,0.009045084971874737,75.31
2,0.0983,0.494,0.9053,0.007938926261462366,76.82
3,0.2131,0.2667,0.9107,0.006545084971874737,77.39
4,0.2011,0.3416,0.916,0.005,77.55
5,0.1091,0.287,0.9154,0.003454915028125263,77.29
6,0.1669,0.2371,0.9274,0.0020610737385376348,77.61
7,0.092,0.4642,0.9316,0.0009549150281252633,78.23
8,0.1183,0.37,0.9332,0.00024471741852423234,77.83
9,0.1086,0.4056,0.9339,0.0,77.75
