epoch,batch,total_loss,retain_ce,forget_ce,forget_reg_data_kl,forget_reg_label_kl,lr
0,0,0.0013,0.0013,0.0732,12.2706,0.2826,0.010000
0,100,0.0029,0.0029,1.7295,11.7193,0.6376,0.010000
0,200,0.0277,0.0277,2.4115,11.1945,0.6934,0.010000
0,300,0.1237,0.1237,2.4792,12.0904,0.8769,0.010000
1,0,118.7561,0.0655,1.1818,10.8145,1.0546,0.009755
1,100,0.3508,0.3078,2.2720,0.0024,0.0019,0.009755
1,200,0.1478,0.1272,2.2352,0.0015,0.0006,0.009755
1,300,0.2103,0.1991,2.2646,0.0009,0.0003,0.009755
2,0,0.1629,0.1537,2.2784,0.0006,0.0003,0.009045
2,100,0.1882,0.1752,2.2428,0.0012,0.0001,0.009045
2,200,0.0824,0.0765,2.2664,0.0005,0.0000,0.009045
2,300,0.1518,0.1419,2.2868,0.0008,0.0002,0.009045
3,0,0.1784,0.1746,2.3037,0.0002,0.0002,0.007939
3,100,0.1282,0.1164,2.2517,0.0010,0.0001,0.007939
3,200,0.0823,0.0788,2.2927,0.0003,0.0001,0.007939
3,300,0.0885,0.0865,2.2942,0.0001,0.0001,0.007939
4,0,0.1988,0.1932,2.3147,0.0005,0.0001,0.006545
4,100,0.1322,0.1304,2.2959,0.0001,0.0000,0.006545
4,200,0.0840,0.0831,2.2959,0.0001,0.0000,0.006545
4,300,0.1175,0.1160,2.3031,0.0001,0.0000,0.006545
5,0,0.0659,0.0652,2.2981,0.0001,0.0000,0.005000
5,100,0.0632,0.0622,2.3001,0.0001,0.0000,0.005000
5,200,0.0601,0.0582,2.3165,0.0001,0.0001,0.005000
5,300,0.1452,0.1442,2.2963,0.0001,0.0000,0.005000
6,0,0.0708,0.0690,2.3004,0.0001,0.0000,0.003455
6,100,0.0879,0.0859,2.3053,0.0001,0.0001,0.003455
6,200,0.1434,0.1407,2.2902,0.0002,0.0001,0.003455
6,300,0.0326,0.0317,2.2984,0.0001,0.0000,0.003455
7,0,0.3138,0.0898,2.1733,0.0192,0.0032,0.002061
7,100,0.1124,0.1115,2.3044,0.0001,0.0000,0.002061
7,200,0.0627,0.0598,2.2816,0.0003,0.0000,0.002061
7,300,0.0524,0.0508,2.2969,0.0001,0.0000,0.002061
8,0,0.0632,0.0619,2.2967,0.0001,0.0000,0.000955
8,100,0.0037,0.0028,2.2967,0.0001,0.0000,0.000955
8,200,0.0229,0.0223,2.3003,0.0001,0.0000,0.000955
8,300,0.0694,0.0688,2.3053,0.0000,0.0000,0.000955
9,0,0.0385,0.0374,2.2985,0.0001,0.0000,0.000245
9,100,0.0424,0.0411,2.2947,0.0001,0.0000,0.000245
9,200,0.0607,0.0602,2.3061,0.0000,0.0000,0.000245
9,300,0.0424,0.0422,2.3041,0.0000,0.0000,0.000245
