epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9657,0.2982,0.9331,0.0,0.0
0,0.2206,0.7761,0.9218,0.0048776412907378846,48.83
1,0.2069,0.7659,0.9232,0.0045225424859373685,50.72
2,0.2489,0.5578,0.922,0.003969463130731183,51.77
3,0.12,0.6392,0.921,0.0032725424859373687,52.27
4,0.2383,0.3687,0.92,0.0025,51.83
5,0.1694,0.3747,0.9155,0.0017274575140626316,52.75
6,0.1886,0.3939,0.9147,0.0010305368692688174,52.17
7,0.2057,0.2698,0.913,0.00047745751406263163,52.27
8,0.2009,0.2936,0.9132,0.00012235870926211617,52.32
9,0.1994,0.3006,0.9142,0.0,52.85
