name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.090857,0.110000,0.102857,0.116286,0.115714,0.107714,0.031429,0.104286,0.102857,0.118000
after_with_def,0.073429,0.054857,0.045429,0.058857,0.050286,0.038571,0.502286,0.049714,0.082857,0.043714
