name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
before,0.001595,0.054226,0.054226,0.023923,0.070175,0.049442,0.004785,0.041467,0.030303,0.031898,0.055821,0.028708,0.076555,0.054226,0.019139,0.015949,0.011164,0.035088,0.033493,0.006380,0.009569,0.015949,0.009569,0.011164,0.006380,0.025518,0.007974,0.003190,0.017544,0.009569,0.014354,0.020734,0.007974,0.007974,0.007974,0.035088,0.001595,0.009569,0.046252,0.007974,0.007974,0.011164,0.006380
after_with_def,0.239234,0.001595,0.001595,0.014354,0.000000,0.000000,0.000000,0.000000,0.003190,0.009569,0.000000,0.003190,0.001595,0.000000,0.003190,0.001595,0.001595,0.006380,0.000000,0.001595,0.001595,0.001595,0.001595,0.009569,0.000000,0.003190,0.001595,0.001595,0.004785,0.000000,0.000000,0.000000,0.003190,0.009569,0.001595,0.019139,0.591707,0.014354,0.003190,0.003190,0.031898,0.001595,0.006380
