epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0456,0.9876,0.0,0.0
0,0.9487,0.1399,0.9864,0.0009045084971874737,84.62
1,0.1026,0.9014,0.982,0.0006545084971874737,85.2
2,0.0769,0.9232,0.9823,0.00034549150281252633,85.71
3,0.0,0.9652,0.9846,9.549150281252633e-05,85.94
4,0.0,0.9638,0.984,0.0,85.81
