name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
before,0.010204,0.081633,0.051020,0.020408,0.030612,0.030612,0.000000,0.030612,0.040816,0.071429,0.071429,0.051020,0.051020,0.091837,0.010204,0.020408,0.000000,0.020408,0.020408,0.000000,0.000000,0.000000,0.000000,0.010204,0.000000,0.030612,0.010204,0.010204,0.000000,0.000000,0.020408,0.000000,0.000000,0.020408,0.000000,0.102041,0.010204,0.000000,0.071429,0.010204,0.000000,0.000000,0.000000
after_with_def,0.010204,0.030612,0.020408,0.010204,0.000000,0.142857,0.295918,0.000000,0.020408,0.071429,0.020408,0.020408,0.020408,0.030612,0.010204,0.010204,0.000000,0.010204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061224,0.051020,0.000000,0.010204,0.000000,0.000000,0.020408,0.000000,0.000000,0.051020,0.000000,0.051020,0.000000,0.000000,0.020408,0.010204,0.000000,0.000000,0.000000
