epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0776,0.9404,0.0,0.0
0,1.0,0.6494,0.9384,0.009045084971874737,15.07
1,0.8,0.8804,0.9278,0.0065450849718747366,18.91
2,0.6,0.9281,0.9146,0.0034549150281252628,18.65
3,0.4,0.9289,0.896,0.0009549150281252632,18.41
4,0.4,0.9177,0.8747,0.0,18.83
