epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0776,0.9404,0.0,0.0
0,1.0,0.6887,0.9385,0.01,15.08
1,0.6,0.8998,0.9282,0.01,14.95
2,0.3,0.9341,0.9132,0.01,14.84
3,0.2,0.934,0.893,0.01,14.76
4,0.1,0.916,0.8687,0.01,14.89
