name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.100000,0.100000,0.000000,0.200000,0.100000,0.200000,0.000000,0.000000,0.000000,0.300000
after_with_def,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.700000,0.000000,0.000000,0.100000
