epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.0776,0.9404,0.0,0.0
0,0.6,0.7931,0.9025,0.009755282581475769,75.2
1,0.3,0.8749,0.8974,0.009045084971874737,75.53
2,0.5,0.789,0.904,0.007938926261462366,74.92
3,0.4,0.7784,0.909,0.006545084971874737,76.26
4,0.2,0.9793,0.9151,0.005,77.7
5,0.5,0.8434,0.929,0.003454915028125263,75.86
6,0.7,0.6041,0.93,0.0020610737385376348,76.47
7,0.8,0.7472,0.9339,0.0009549150281252633,80.91
8,0.9,0.6719,0.9353,0.00024471741852423234,76.33
9,0.8,0.6311,0.9351,0.0,76.51
