name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.075000,0.155000,0.120000,0.140000,0.090000,0.085000,0.000000,0.110000,0.110000,0.115000
after_with_def,0.065000,0.080000,0.070000,0.140000,0.030000,0.030000,0.400000,0.065000,0.065000,0.055000
