name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.140000,0.080000,0.020000,0.200000,0.080000,0.140000,0.000000,0.100000,0.080000,0.160000
after_with_def,0.000000,0.020000,0.340000,0.080000,0.220000,0.040000,0.060000,0.080000,0.040000,0.120000
