epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.705,0.8134,0.8921,0.009755282581475769,74.73
1,0.69,0.8947,0.9001,0.009045084971874737,72.91
2,0.44,0.9944,0.8995,0.007938926261462366,70.2
3,0.535,0.9686,0.9066,0.006545084971874737,72.52
4,0.515,0.9087,0.9186,0.005,70.52
5,0.625,0.8972,0.92,0.003454915028125263,70.69
6,0.565,0.9668,0.9258,0.0020610737385376348,69.86
7,0.55,0.9773,0.9308,0.0009549150281252633,67.65
8,0.455,0.9719,0.93,0.00024471741852423234,67.62
9,0.54,0.9753,0.9314,0.0,70.88
