epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.205,0.9353,0.0,0.0
0,0.62,0.8159,0.89,0.009755282581475769,78.36
1,0.66,0.6642,0.8863,0.009045084971874737,84.96
2,0.41,0.0097,0.8969,0.007938926261462366,86.26
3,0.58,0.0246,0.8998,0.006545084971874737,85.59
4,0.385,0.2839,0.9152,0.005,95.77
5,0.375,0.2283,0.9178,0.003454915028125263,87.76
6,0.535,0.2446,0.9261,0.0020610737385376348,93.72
7,0.33,0.6673,0.9254,0.0009549150281252633,91.76
8,0.43,0.6659,0.9283,0.00024471741852423234,95.02
9,0.305,0.8806,0.9294,0.0,89.31
