epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.205,0.9353,0.0,0.0
0,0.77,0.7228,0.8951,0.009755282581475769,45.49
1,0.465,0.9729,0.8825,0.009045084971874737,47.03
2,0.435,0.998,0.9025,0.007938926261462366,50.94
3,0.665,0.772,0.9131,0.006545084971874737,53.59
4,0.695,0.8073,0.9102,0.005,50.43
5,0.605,0.6933,0.925,0.003454915028125263,52.23
6,0.69,0.5999,0.928,0.0020610737385376348,52.08
7,0.74,0.7093,0.9271,0.0009549150281252633,53.36
8,0.675,0.6549,0.9284,0.00024471741852423234,52.04
9,0.705,0.6796,0.9265,0.0,53.57
