epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.646,0.4414,0.8646,0.019510565162951538,64.85
1,0.156,0.8608,0.86,0.018090169943749474,64.58
2,0.252,0.816,0.8554,0.015877852522924733,64.59
3,0.46,0.609,0.8669,0.013090169943749475,64.75
4,0.26,0.8092,0.8953,0.01,65.73
5,0.37,0.709,0.911,0.006909830056250526,72.26
6,0.378,0.7541,0.9184,0.0041221474770752695,70.11
7,0.25,0.8204,0.9313,0.0019098300562505265,69.51
8,0.282,0.8324,0.9338,0.0004894348370484647,69.15
9,0.278,0.8132,0.9348,0.0,68.15
