name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.108000,0.110000,0.114000,0.122000,0.114000,0.116000,0.000000,0.118000,0.100000,0.098000
after_with_def,0.052000,0.072000,0.118000,0.102000,0.138000,0.158000,0.166000,0.072000,0.068000,0.054000
