name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.120800,0.093600,0.110000,0.122400,0.109200,0.100000,0.012000,0.118000,0.108400,0.105600
after_with_def,0.057200,0.052000,0.057200,0.214800,0.072000,0.039200,0.346800,0.058000,0.051200,0.051600
