epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9868,0.2583,0.8949,0.0,0.0
0,0.3984,0.9994,0.8785,0.009755282581475769,77.49
1,0.4472,0.8526,0.8537,0.009045084971874737,58.68
2,0.3948,0.0258,0.8523,0.007938926261462366,61.8
3,0.388,0.9998,0.8658,0.006545084971874737,61.94
4,0.4556,0.923,0.8781,0.005,61.61
5,0.4048,0.9944,0.8822,0.003454915028125263,61.25
6,0.3892,0.9993,0.8839,0.0020610737385376348,61.25
7,0.4092,0.9994,0.8867,0.0009549150281252633,62.2
8,0.41,0.9996,0.8862,0.00024471741852423234,69.52
9,0.382,0.9996,0.8894,0.0,61.51
