name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.121600,0.094000,0.110000,0.123200,0.109600,0.099600,0.010800,0.117200,0.109600,0.104400
after_with_def,0.052800,0.042400,0.041200,0.054800,0.054800,0.038800,0.569600,0.054800,0.046800,0.044000
