epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,0.9868,0.2583,0.8949,0.0,0.0
0,0.4256,0.9916,0.8755,0.009755282581475769,73.14
1,0.3984,0.9963,0.863,0.009045084971874737,74.17
2,0.4136,0.9924,0.8821,0.007938926261462366,75.41
3,0.3956,1.0,0.883,0.006545084971874737,74.4
4,0.392,0.9998,0.8891,0.005,73.33
5,0.4036,0.9999,0.8916,0.003454915028125263,75.16
6,0.3948,1.0,0.8906,0.0020610737385376348,74.86
7,0.4088,0.9997,0.8973,0.0009549150281252633,75.17
8,0.4104,0.9999,0.8988,0.00024471741852423234,76.06
9,0.3856,0.9999,0.9013,0.0,75.73
