epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.995,0.3862,0.9014,0.005,15.66
1,0.775,0.7263,0.8896,0.005,15.11
2,0.5,0.9511,0.7432,0.005,15.56
3,0.175,0.9984,0.3565,0.005,15.08
4,0.045,1.0,0.1462,0.005,15.42
