epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.72,0.9487,0.8999,0.0048776412907378846,41.72
1,0.515,0.9891,0.8967,0.0045225424859373685,43.75
2,0.52,0.9767,0.9005,0.003969463130731183,44.51
3,0.605,0.9808,0.9012,0.0032725424859373687,44.91
4,0.605,0.939,0.9019,0.0025,45.05
5,0.58,0.9487,0.9039,0.0017274575140626316,45.34
6,0.545,0.9288,0.9043,0.0010305368692688174,45.53
7,0.615,0.847,0.9039,0.00047745751406263163,45.17
8,0.565,0.8646,0.9032,0.00012235870926211617,45.52
9,0.625,0.8431,0.9042,0.0,45.24
