epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
-1,1.0,0.2569,0.9026,0.0,0.0
0,0.97,0.4746,0.9002,0.0045225424859373685,19.53
1,0.795,0.7733,0.8909,0.0032725424859373683,14.58
2,0.64,0.8843,0.8671,0.0017274575140626314,14.56
3,0.61,0.9004,0.855,0.0004774575140626316,14.74
4,0.62,0.8992,0.8541,0.0,15.15
