name,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
before,0.100000,0.120000,0.110000,0.120000,0.105000,0.125000,0.005000,0.130000,0.095000,0.090000
after_with_def,0.065000,0.070000,0.205000,0.090000,0.045000,0.045000,0.340000,0.050000,0.060000,0.030000
